FICE,Institution,Discipline,Total SCH,Percentage of SCH
3541,ASU,Pharmacy,0,0
3541,ASU,Business Administration,21387,0.098281781
3541,ASU,Optometry,0,0
3541,ASU,Teacher Ed-Practice Teaching,891,0.0040945
3541,ASU,Technology,3513,0.016143634
3541,ASU,Nursing,6174,0.028371988
3646,TWU,Liberal Arts,96844,0.271922953
3646,TWU,Science,61314,0.172160216
3646,TWU,Fine Arts,15931,0.044731781
3646,TWU,Teacher Education,17790,0.049951565
3646,TWU,Agriculture,1326,0.003723203
3646,TWU,Engineering,4733,0.013289531
3646,TWU,Home Economics,12395,0.03480324
3646,TWU,Law,0,0
3646,TWU,Social Service,3850,0.010810204
3646,TWU,Library Science,5970,0.016762835
3646,TWU,Veterinary Science,0,0
3646,TWU,Vocational Training,0,0
3646,TWU,Physical Training,0,0
3646,TWU,Health Services,47930,0.134580017
3646,TWU,Pharmacy,0,0
3646,TWU,Business Administration,44659,0.125395555
3646,TWU,Optometry,0,0
3646,TWU,Teacher Ed-Practice Teaching,618,0.001735248
3646,TWU,Technology,681,0.001912143
3646,TWU,Nursing,42104,0.118221511
3581,LU,Liberal Arts,103024,0.288090378
3581,LU,Science,34326,0.095987249
3581,LU,Fine Arts,12588,0.035200358
3581,LU,Teacher Education,81981,0.229246945
3581,LU,Agriculture,0,0
3581,LU,Engineering,23894,0.066815805
3581,LU,Home Economics,10335,0.028900199
3581,LU,Law,0,0
3581,LU,Social Service,2691,0.007524957
3581,LU,Library Science,211,0.000590028
3581,LU,Veterinary Science,0,0
3581,LU,Vocational Training,0,0
